      6 013-05-02 23:08
     26 013-05-02 23:09
     16 013-05-02 23:10
     21 013-05-02 23:11
     22 013-05-02 23:12
     43 013-05-02 23:13
     23 013-05-02 23:14
     37 013-05-02 23:15
     26 013-05-02 23:16
     27 013-05-02 23:17
     17 013-05-02 23:18
     35 013-05-02 23:19
     27 013-05-02 23:20
     26 013-05-02 23:21
     17 013-05-02 23:22
     17 013-05-02 23:23
     24 013-05-02 23:24
     14 013-05-02 23:25
     25 013-05-02 23:26
     37 013-05-02 23:27
     33 013-05-02 23:28
     34 013-05-02 23:29
     52 013-05-02 23:30
     24 013-05-02 23:31
     31 013-05-02 23:32
     25 013-05-02 23:33
     28 013-05-02 23:34
     54 013-05-02 23:35
     64 013-05-02 23:36
     58 013-05-02 23:37
     57 013-05-02 23:38
     51 013-05-02 23:39
     36 013-05-02 23:40
     39 013-05-02 23:41
     26 013-05-02 23:42
     38 013-05-02 23:43
     28 013-05-02 23:44
     39 013-05-02 23:45
     31 013-05-02 23:46
     31 013-05-02 23:47
     24 013-05-02 23:48
     37 013-05-02 23:49
     39 013-05-02 23:50
     39 013-05-02 23:51
     49 013-05-02 23:52
     68 013-05-02 23:53
     64 013-05-02 23:54
     80 013-05-02 23:55
     66 013-05-02 23:56
     68 013-05-02 23:57
     54 013-05-02 23:58
     66 013-05-02 23:59
     93 013-05-03 00:00
    108 013-05-03 00:01
    107 013-05-03 00:02
    120 013-05-03 00:03
    225 013-05-03 00:04
    152 013-05-03 00:05
    128 013-05-03 00:06
    138 013-05-03 00:07
    156 013-05-03 00:08
    118 013-05-03 00:09
    137 013-05-03 00:10
    148 013-05-03 00:11
    183 013-05-03 00:12
    177 013-05-03 00:13
    144 013-05-03 00:14
    128 013-05-03 00:15
    105 013-05-03 00:16
    108 013-05-03 00:17
    101 013-05-03 00:18
     67 013-05-03 00:19
     66 013-05-03 00:20
     76 013-05-03 00:21
     71 013-05-03 00:22
    104 013-05-03 00:23
     75 013-05-03 00:24
     62 013-05-03 00:25
     76 013-05-03 00:26
     68 013-05-03 00:27
     99 013-05-03 00:28
     85 013-05-03 00:29
     82 013-05-03 00:30
     80 013-05-03 00:31
     73 013-05-03 00:32
     69 013-05-03 00:33
    100 013-05-03 00:34
    105 013-05-03 00:35
     98 013-05-03 00:36
    121 013-05-03 00:37
    100 013-05-03 00:38
     93 013-05-03 00:39
     69 013-05-03 00:40
     72 013-05-03 00:41
     87 013-05-03 00:42
     83 013-05-03 00:43
     76 013-05-03 00:44
     66 013-05-03 00:45
     58 013-05-03 00:46
     48 013-05-03 00:47
     61 013-05-03 00:48
     99 013-05-03 00:49
    111 013-05-03 00:50
     88 013-05-03 00:51
     93 013-05-03 00:52
    101 013-05-03 00:53
     99 013-05-03 00:54
     71 013-05-03 00:55
     73 013-05-03 00:56
     50 013-05-03 00:57
    100 013-05-03 00:58
    101 013-05-03 00:59
     98 013-05-03 01:00
    172 013-05-03 01:01
    113 013-05-03 01:02
    105 013-05-03 01:03
     71 013-05-03 01:04
     78 013-05-03 01:05
     64 013-05-03 01:06
     62 013-05-03 01:07
     57 013-05-03 01:08
     85 013-05-03 01:09
    117 013-05-03 01:10
     78 013-05-03 01:11
     98 013-05-03 01:12
    104 013-05-03 01:13
     96 013-05-03 01:14
     88 013-05-03 01:15
     84 013-05-03 01:16
     55 013-05-03 01:17
     59 013-05-03 01:18
     47 013-05-03 01:19
     39 013-05-03 01:20
     40 013-05-03 01:21
     41 013-05-03 01:22
     33 013-05-03 01:23
     37 013-05-03 01:24
     34 013-05-03 01:25
     50 013-05-03 01:26
     40 013-05-03 01:27
     46 013-05-03 01:28
     47 013-05-03 01:29
     51 013-05-03 01:30
     62 013-05-03 01:31
     53 013-05-03 01:32
     42 013-05-03 01:33
     39 013-05-03 01:34
     47 013-05-03 01:35
     47 013-05-03 01:36
     57 013-05-03 01:37
     53 013-05-03 01:38
     73 013-05-03 01:39
     51 013-05-03 01:40
     76 013-05-03 01:41
     69 013-05-03 01:42
     42 013-05-03 01:43
     46 013-05-03 01:44
    106 013-05-03 01:45
     58 013-05-03 01:46
